countryname,year,lifeladder,loggdppercapita,socialsupport,healthylifeexpectancyatbirth,freedomtomakelifechoices,generosity,perceptionsofcorruption,positiveaffect,negativeaffect,code,house_price,ptr_ratio,r_house_price,rent_price,gini,life_expectancy,social_expenditure,housing_expenditure_ratio,ownership,pri_ratio,employment_rate,idcode,gini_dum,social_expenditure_dum,gini_dum_int,socialexp_dum_int,owner_dum,owner_dum_int,gini_dum_int_sq,ln_house_price,ln_r_house_price,r_house_price_growth
Finland,2013,7.4450002,10.722,.94099998,70.260002,.91900003,.034000002,.30599999,.75199997,.19499999,FIN,100.4,106.6,102.1,94.199997,.262,81.099998,29.552,26.554148,67.300003,102.1,68.074997,Finland,1,1,.26199999,29.552,1,67.300003,.068643995,4.6091623,4.6259527,-.012652267
Finland,2014,7.3850002,10.714,.95200002,70.480003,.93300003,-.0070000002,.26499999,.76599997,.199,FIN,100,103,100.5,97.099998,.257,81.300003,30.285,27.187511,66.400002,101.3,67.949997,Finland,1,1,.257,30.285,1,66.400002,.066049002,4.6051702,4.6101575,-.015794983
Finland,2015,7.448,10.716,.94800001,70.699997,.93000001,.105,.223,.736,.191,FIN,100,100,100,100,.26,81.599998,30.638,27.898113,65.900002,100,67.550003,Finland,1,1,.25999999,30.638,1,65.900002,.067599997,4.6051702,4.6051702,-.0049875416
Finland,2016,7.6599998,10.741,.954,70.775002,.94800001,-.033,.25,.76899999,.182,FIN,101.3,99,101.1,102.3,.259,81.5,30.546,28.2857,64.599998,100,68.224998,Finland,1,1,.259,30.546,1,64.599998,.067081004,4.6180863,4.6161103,.010939925
Finland,2017,7.7880001,10.77,.96399999,70.849998,.96200001,-.0080000004,.192,.75599998,.176,FIN,102.4,98.099998,101.2,104.4,.266,81.699997,29.674,28.549706,64.599998,99,69.074997,Finland,1,1,.266,29.674,1,64.599998,.070756003,4.6288867,4.6170988,.00098861579
Finland,2018,7.8579998,10.78,.96200001,70.925003,.93800002,-.133,.199,.74900001,.182,FIN,103.3,97.199997,100.8,106.4,.269,81.800003,29.391001,28.587164,64.699997,97,71.150002,Finland,1,1,.26899999,29.391001,1,64.699997,.072361,4.6376376,4.6131382,-.0039603407
Finland,2019,7.7800002,10.791,.93699998,71,.94800001,-.057999998,.19499999,.73199999,.18099999,FIN,103.8,95.599998,100.3,108.5,.273,82.099998,29.454,28.830301,64,94.599998,72,Finland,1,1,.273,29.454,1,64,.074529,4.6424661,4.6081657,-.0049726604
France,2012,6.6490002,10.664,.93699998,71.400002,.84100002,-.155,.60799998,.70499998,.25299999,FRA,106,109.5,107.1,96.800003,,82.099998,31.177,26.126055,60.599998,107,64.375,France,0,1,0,31.177,1,60.599998,0,4.6634393,4.6737628,
France,2013,6.6669998,10.665,.90799999,71.5,.87800002,-.13,.699,.741,.205,FRA,103.8,105.6,104.2,98.300003,,82.400002,32.325001,26.601458,61.099998,105.6,64.375,France,0,1,0,32.325001,1,61.099998,0,4.6424661,4.6463122,-.027450863
France,2014,6.467,10.669,.87800002,71.599998,.80299997,-.124,.65600002,.759,.21600001,FRA,101.9,102.6,102.2,99.400002,,82.900002,32.647999,26.501879,61.400002,102.7,64.525002,France,0,1,0,32.647999,1,61.400002,0,4.623992,4.6269317,-.019380452
France,2015,6.3579998,10.677,.89600003,71.699997,.81699997,-.145,.64099997,.74000001,.215,FRA,100,100,100,100,,82.400002,32.465,26.465874,60.900002,100,64.699997,France,0,1,0,32.465,1,60.900002,0,4.6051702,4.6051702,-.021761462
France,2016,6.4749999,10.685,.88499999,71.800003,.787,-.097000003,.62300003,.71499997,.27000001,FRA,100.9,100.6,100.7,100.3,,82.699997,32.639999,26.420404,61.5,99.599998,65,France,0,1,0,32.639999,1,61.5,0,4.61413,4.6121459,.0069755833
France,2017,6.6350002,10.705,.93099999,71.900002,.83399999,-.12899999,.60100001,.71600002,.242,FRA,104,103.4,103,100.5,,82.699997,32.16,26.169289,61,100.5,65.550003,France,0,1,0,32.16,1,61,0,4.6443911,4.6347289,.022583218
France,2018,6.6659999,10.72,.921,72,.81599998,-.14300001,.58200002,.70499998,.28200001,FRA,107.1,106.9,104.1,100.2,,82.800003,31.728001,26.131699,61.900002,101.3,66.150002,France,0,1,0,31.728001,1,61.900002,0,4.6737628,4.6453519,.010622973
France,2019,6.6900001,10.735,.958,72.099998,.82700002,-.139,.56800002,.69300002,.25,FRA,110.7,109.9,106.7,100.7,,83,31.489,26.237085,60.599998,101.7,66.375,France,0,1,0,31.489,1,60.599998,0,4.7068238,4.6700211,.024669169
Germany,2012,6.7020001,10.817,.926,70.040001,.90399998,.064999998,.67900002,.699,.17,DEU,89.800003,93.400002,92.599998,96.099998,.289,80.699997,26.982,24.855179,44.799999,94.699997,72.050003,Germany,1,1,.289,26.982,1,44.799999,.083521001,4.4975848,4.5282893,
Germany,2013,6.9650002,10.819,.93099999,70.059998,.89399999,.017999999,.56599998,.69300002,.205,DEU,92.5,95,94,97.400002,.292,80.599998,27.266001,25.234655,,96.599998,72.525002,Germany,1,1,.292,27.266001,0,0,.085263997,4.5272088,4.5432949,.015005657
Germany,2014,6.9840002,10.837,.93800002,70.080002,.89899999,.082000002,.47400001,.73900002,.18799999,DEU,95.5,96.599998,96,98.800003,.289,81.199997,27.143,24.718151,45,97.5,72.800003,Germany,1,1,.289,27.143,1,45,.083521001,4.5591264,4.5643482,.021053409
Germany,2015,7.0370002,10.843,.926,70.099998,.889,.17200001,.412,.722,.20299999,DEU,100,100,100,100,.293,80.699997,27.459999,24.505621,43.799999,100,73,Germany,1,1,.29300001,27.459999,1,43.799999,.085849009,4.6051702,4.6051702,.040821996
Germany,2016,6.8740001,10.857,.90600002,70.300003,.87099999,.142,.44600001,.70899999,.18700001,DEU,107.4,106.2,106.7,101.1,.294,81,27.714001,24.229965,44.200001,105,73.675003,Germany,1,1,.294,27.714001,1,44.200001,.086436003,4.6765604,4.6700211,.064850941
Germany,2017,7.0739999,10.879,.89200002,70.5,.84100002,.139,.414,.70700002,.19599999,DEU,114,111.2,111.4,102.5,.289,81.099998,27.695999,24.130062,43.799999,108.2,74.25,Germany,1,1,.289,27.695999,1,43.799999,.083521001,4.7361984,4.7131271,.043106213
Germany,2018,7.118,10.886,.92000002,70.699997,.87699997,.028000001,.49599999,.74000001,.243,DEU,121.6,116.8,116.8,104.1,.289,81,27.826,24.042629,44.099998,111.2,74.900002,Germany,1,1,.289,27.826,1,44.099998,.083521001,4.8007369,4.7604632,.047335755
Germany,2019,7.0349998,10.894,.88599998,70.900002,.88499999,.050999999,.46200001,.71200001,.226,DEU,128.60001,121.9,121.8,105.6,.296,81.300003,28.18,24.001806,43.799999,115.1,75.650002,Germany,1,1,.296,28.18,1,43.799999,.087616004,4.8567071,4.8023806,.041917283
