"countryname","year","lifeladder","loggdppercapita","socialsupport","healthylifeexpectancyatbirth","freedomtomakelifechoices","generosity","perceptionsofcorruption","positiveaffect","negativeaffect","code","house_price","ptr_ratio","r_house_price","rent_price","gini","life_expectancy","social_expenditure","housing_expenditure_ratio","ownership","pri_ratio","employment_rate","idcode","gini_dum","social_expenditure_dum","gini_dum_int","socialexp_dum_int","owner_dum","owner_dum_int","gini_dum_int_sq","soci_ex_2"
"Canada",2019,7.1090002,10.803,0.92500001,71.300003,0.912,0.105,0.43599999,0.78100002,0.285,"CAN",129,122.6,122.7,105.3,0.3,82.300003,18.784,24.239151,69.599998,120.1,74.599998,"Canada",1,1,0.30000001,18.784,1,69.599998,0.090000004,42.3
"Colombia",2012,6.375,9.4680004,0.91399997,67.639999,0.82800001,-0.015,0.86799997,0.829,0.294,"COL",77.699997,86.099998,87,90.199997,NA,74.699997,13.742,15.963941,43.400002,94.699997,66.014999,"Colombia",0,1,0,13.742,1,43.400002,0,32.2
"Colombia",2013,6.6069999,9.5080004,0.90100002,67.860001,0.84100002,-0.075999998,0.898,0.815,0.278,"COL",85.099998,90.900002,93.199997,93.599998,NA,75,14.472,16.08852,43.299999,97.400002,66.214157,"Colombia",0,1,0,14.472,1,43.299999,0,32.2
"Colombia",2014,6.4489999,9.5419998,0.90700001,68.080002,0.801,-0.096000001,0.88700002,0.82499999,0.278,"COL",92,95.099998,97.699997,96.699997,NA,75.199997,15.416,16.05092,41.400002,99.900002,66.709999,"Colombia",0,1,0,15.416,1,41.400002,0,31.3
"Colombia",2015,6.388,9.5620003,0.88999999,68.300003,0.79100001,-0.106,0.84299999,0.80299997,0.292,"COL",100,100,100,100,NA,75.400002,15.892,15.789909,40.5,100,67.385002,"Colombia",0,1,0,15.892,1,40.5,0,32.2
"Colombia",2016,6.2340002,9.5719995,0.88200003,68.474998,0.83499998,-0.106,0.898,0.76999998,0.294,"COL",109.6,105.4,102.9,104,NA,75.699997,15.541,15.849312,40.400002,104.3,67.032501,"Colombia",0,1,0,15.541,1,40.400002,0,33
"Colombia",2017,6.1570001,9.5699997,0.90899998,68.650002,0.838,-0.163,0.875,0.79000002,0.29899999,"COL",117,108,105.9,108.3,NA,75.900002,15.555,15.993696,39.200001,104.8,66.933327,"Colombia",0,1,0,15.555,1,39.200001,0,31.7
"Colombia",2018,5.9840002,9.5769997,0.87099999,68.824997,0.85100001,-0.154,0.85500002,0.77499998,0.301,"COL",123.3,109.9,108.1,112.3,NA,76.5,15.202,16.207159,38.400002,105.3,66.450844,"Colombia",0,1,0,15.202,1,38.400002,0,30.9
"Colombia",2019,6.3499999,9.5900002,0.87300003,69,0.82200003,-0.177,0.85399997,0.79100001,0.322,"COL",130,112.5,109.6,115.6,NA,76.599998,15.807,16.050394,38.200001,106.5,65.366669,"Colombia",0,1,0,15.807,1,38.200001,0,31.6
"Czechia",2012,6.3340001,10.425,0.912,67.940002,0.74000001,-0.16,0.95700002,0.63499999,0.257,"CZE",93.800003,97.5,96.099998,96.300003,0.254,78.099998,20.605,27.742529,78.199997,100.2,66.550003,"Czechia",1,1,0.25400001,20.605,1,78.199997,0.064516,44.5
