Country.name,year,Life.Ladder,Log.GDP.per.capita,Social.support,Healthy.life.expectancy.at.birth,Freedom.to.make.life.choices,Generosity,Perceptions.of.corruption,Positive.affect,Negative.affect,code,house_price,pri_ratio,ptr_ratio,r_house_price,Rent_price,employment_rate,gini,life_expectancy,social_expenditure,housing_expenditure_ratio
Hungary,2012,4.683,10.119,0.906,66.12,0.569,-0.142,0.93,0.582,0.315,HUN,87.1,98.8,91,89.8,95.8,58.625,0.279,75.3,22.478,22.59719974
Hungary,2013,4.914,10.14,0.877,66.28,0.674,-0.119,0.912,0.647,0.307,HUN,84.9,92.6,86.9,86.3,97.7,60.125,0.286,75.8,22.169,21.47055751
Hungary,2014,5.181,10.184,0.845,66.44,0.494,-0.156,0.855,0.578,0.238,HUN,88.4,92.4,90.3,88.9,98,63.65,0.281,76,21.322,19.99778581
Hungary,2015,5.344,10.223,0.859,66.6,0.558,-0.204,0.908,0.65,0.245,HUN,100,100,100,100,100,65.85,0.284,75.7,20.349,20.17218577
Hungary,2016,5.449,10.248,0.9,66.75,0.554,-0.193,0.924,0.59,0.243,HUN,113.4,107,107.8,112.3,105.2,68.525,0.28,76.2,20.17,20.21324073
Hungary,2017,6.065,10.292,0.877,66.9,0.661,-0.145,0.886,0.644,0.181,HUN,127.2,109.3,117.4,122,108.4,70.175,0.289,76,19.434,20.08737237
Hungary,2018,5.936,10.346,0.941,67.05,0.693,-0.249,0.911,0.595,0.201,HUN,145.5,111.5,127.7,134.8,113.9,71.4,0.28,76.2,18.616,20.24519444
Hungary,2019,6,10.393,0.947,67.2,0.798,-0.201,0.884,0.653,0.18,HUN,170.2,117.1,136.6,151,124.6,72.225,0.286,76.5,17.636,20.64792993
Hungary,2020,6.038,10.349,0.943,67.35,0.771,-0.127,0.836,0.662,0.24,HUN,178.6,119.4,137.5,154,129.9,71.95,0.28,75.7,NA,22.22556013
Hungary,2021,6.227,10.423,0.948,67.5,0.727,-0.046,0.832,0.668,0.192,HUN,208,121.9,157.1,169.2,132.4,73.075,0.278,74.3,NA,22.33415049
